동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@JD__H50,캬,1,2023-10-05T08:24:43Z,0,UgziGSomqiTghvmbA3d4AaABAg,S1bcy4h1mS8,UCFGiCFieTUHhWLF753Ogv_w,2023-10-05T08:24:43Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@sae0134,크흡.. 내가 너무 자랑스러움..,1,2024-04-08T13:31:43Z,0,UgwjtEVhAM_ssZ7Blvd4AaABAg,S1bcy4h1mS8,UCaKHyaDU2imybSgzk_d_MQA,2024-04-08T13:31:43Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@발로하는박쥐,이렇게 보니깐 쥰내 웃기네 ㅋㅋㅋㅋㅋㅋㅋ,1,2024-07-21T21:59:05Z,0,Ugz3_P5oQVFmS52jj4F4AaABAg,S1bcy4h1mS8,UCSXFhLYJdcaFXYBS-CdMlAg,2024-07-21T21:59:05Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@Gureum_Haetae,이제 진짜가 되었다……..으아ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ🎉🎉,0,2023-10-03T05:12:17Z,0,Ugypt_c7KuWbY_PAo_14AaABAg,S1bcy4h1mS8,UCgJr_zKybdRNp9h51QMcSVw,2023-10-03T05:12:17Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@준-i9s,킹아,2,2023-09-28T11:07:44Z,0,UgxoWajTjWwPck6qz254AaABAg,S1bcy4h1mS8,UCLLFKRcSlm-1RUu-KhGZsbg,2023-09-28T11:07:44Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@이런-b8i,아담 당신은 옳았어.. 너무 일찍 왔을 뿐,0,2023-10-01T12:52:41Z,0,UgySRT5yUNvbwRUCcgB4AaABAg,S1bcy4h1mS8,UCAu0SL3UCp5qklZsfjhOLzQ,2023-10-01T12:52:41Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@heojason0012,이거 왜 소리안나냐 ㅋㅋ,0,2023-10-16T07:56:56Z,0,UgxkhNtq-GGMB8Vax0R4AaABAg,S1bcy4h1mS8,UCQQ9GESuHzQ5fOzBY1w8M_g,2023-10-16T07:56:56Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@안녕로봇-r4b,이세돌 인터뷰도 좋지만 훨씬 더 대단한 사장님은 인터뷰 안하나?,0,2023-10-04T04:29:55Z,0,UgxLaE-84ojQlCUQ4m54AaABAg,S1bcy4h1mS8,UCRyN8WNBEQZI4std5ch1k8g,2023-10-04T04:30:01Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@Formpanel,양지러 올라와 버렸다,1,2023-10-12T00:40:53Z,0,Ugy1T_u38YApOp166Hx4AaABAg,S1bcy4h1mS8,UCbaMpKLF2eg95C1k1nNtSWQ,2023-10-12T00:40:53Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@hongnest,아이네님 얼굴 어데갔엌ㅋㅋㅋㅋ,0,2023-10-13T09:58:04Z,0,UgxrHeofACWKNQborNd4AaABAg,S1bcy4h1mS8,UCQkWNPBqIiwi2eNCMJsno9w,2023-10-13T09:58:04Z,,중립
