동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@mymymymymymymymymy111,진짜 저게 뭔 근본 없는 아이돌이냐,0,2025-05-04T16:15:59Z,0,UgxTZcr4W4TVNa0il014AaABAg,qOB5sIujPH8,UCAWoGbMLCVarKTtYil_yH2A,2025-05-04T16:15:59Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@랄로파카도파,불끄면 펜타킬인데 버츄얼은?,1,2025-05-05T05:44:35Z,0,UgzQRKauxKCUUmFihR54AaABAg,qOB5sIujPH8,UCy07RyYK42YHkMxMC1yESDw,2025-05-05T05:44:35Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@djdiveieod9369,버츄얼 더빙하는 사람들 누군지 궁금,0,2025-05-03T04:17:33Z,0,Ugyxj3dvJxWQ-psyvPJ4AaABAg,qOB5sIujPH8,UC655tZ3F4BUgclrJ8_QTnKA,2025-05-03T04:17:33Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@user-ji9us7ki4x,어딜가나 팬이 문제네,0,2025-05-04T09:57:45Z,0,UgzYks-IdBueLOGuXp14AaABAg,qOB5sIujPH8,UC_RA4k4z7O9BxRVJvpCZykA,2025-05-04T09:57:45Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@Dontgiveup-h2j,저사람들 말고 ㄹㅇ 하는사람은 허경영임!!!,0,2025-04-30T08:37:05Z,0,Ugxu0LafrM-0spu5Gr94AaABAg,qOB5sIujPH8,UCpBK33935QG0Unozu8fp4zw,2025-04-30T08:37:05Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@땀내나는테토남,"느그들은 굴 좋아하니? 
석화 야무지게 하는데 아는데",2,2025-04-30T20:48:01Z,0,UgwBeilFsM7hnMd-H794AaABAg,qOB5sIujPH8,UCw-VfaHEN6soRtz5WlTN7CA,2025-04-30T20:48:01Z,,긍정
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@zzirang012,여덕들이 많은텐데 남자애들처럼 노네ㅋㅋㅋㅋㅋ,0,2025-04-30T06:10:26Z,0,UgxIFO8DhAKq4uKBLEV4AaABAg,qOB5sIujPH8,UCGVnL2eegOqULCsb2v5HDdg,2025-04-30T06:10:26Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@민경고-u4x,응 우리 오빠들이 더 높게 날앙🙏🙏ㅋㅋ,0,2025-05-01T00:24:34Z,0,Ugx-0K03HOBdFk0eVXh4AaABAg,qOB5sIujPH8,UC2MnCUqUNPMlrFoqFzYWrjA,2025-05-01T00:24:34Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@Abcd-b5q7b,차단기 내리면 해체 ㅋㅋ,0,2025-06-03T10:36:31Z,0,UgwZbv5ClW4X_f-e3dd4AaABAg,qOB5sIujPH8,UCHWrS9C4lcJQDmuoFfmePdw,2025-06-03T10:36:31Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@CoC_0044,어???,0,2025-05-16T13:39:27Z,0,UgxquWHj5BscQO9LYF94AaABAg,qOB5sIujPH8,UC7-typN-AZixDtNDK0r-CaQ,2025-05-16T13:39:27Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@달림-h1p,플레이브가 공항가면...,0,2025-04-29T09:59:17Z,0,UgxbVCBNGvsVJiAbgK94AaABAg,qOB5sIujPH8,UCbqvEfkPEl-DkvWrz-SJKyw,2025-04-29T09:59:17Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@user-siuuuuu138,허경영이 놀라겠노,0,2025-05-01T13:45:59Z,0,Ugz-RY_b8vozLSwYFrt4AaABAg,qOB5sIujPH8,UCeNWlwrmLZf-hJicQFmQPhg,2025-05-01T13:45:59Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@펄마디,근데 버츄얼 저건 직접 움직이는거임?,0,2025-05-16T16:47:19Z,0,UgwXeFoxG7dIpAkTU-d4AaABAg,qOB5sIujPH8,UC1-6p2XgDyt5tmlk2n95E1w,2025-05-16T16:47:19Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@nannlemu,그렇게치면 우리 아현언니도 할수있다,0,2025-05-03T05:17:59Z,0,Ugzs6mtOpSfjD-1spe94AaABAg,qOB5sIujPH8,UCDQesZbSo52OE3vi8WoheTA,2025-05-03T05:17:59Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@HHHHHHHHHHHHHi-y4q,해외갈때는 vpn키면됨,0,2025-05-03T16:10:24Z,0,UgxGeZ4vHNhLSpDH2bR4AaABAg,qOB5sIujPH8,UCK9UYWppvUXmAQQItn9CB6g,2025-05-03T16:10:24Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@Llkkkkkksk,버츄얼 유튜버 방송인 나온다고 아이돌까지 하는건 개 뇌절임 서이브보다 심각하다,0,2025-04-30T12:29:40Z,0,UgwfvnGtZUlj61Zx86B4AaABAg,qOB5sIujPH8,UCjy_lOjkh8pXZN8ell6_CXQ,2025-04-30T12:29:40Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@YuHwaMulgam,와이파이 쓰면 사라짐,1,2025-05-03T11:09:33Z,0,Ugzd7TVR8JmzHE6XOyB4AaABAg,qOB5sIujPH8,UCVB8YA7-lQ22KxKdFTjiI-g,2025-05-03T11:09:33Z,,중립
