,nouns
8L001YT4k6k,"['예준', '썸네일', '무대', '모두', '예준', '썸네일', '데뷔', '이후', '일곱', '번의', '음악', '방송', '예준', '썸네일', '썸네일', '멤버', '노아', '썸네일', '다음', '노아', '썸네일', '노아', '썸네일', '정말', '제발', '대우', '멤버', '차별']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['일주일', '여지', '신곡', '일단', '어른', '자장가', '포근포근', '느낌', '멜로디', '잠옷', '레이브', '드림로', '근처']"
8L001YT4k6k,"['플브', '축하']"
8L001YT4k6k,['축하']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['시간', '듣기']"
8L001YT4k6k,"['축하', '축하']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['축하']
8L001YT4k6k,['축하']
8L001YT4k6k,"['천만', '회수', '축하']"
8L001YT4k6k,"['천만', '계속']"
8L001YT4k6k,['축하']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['달성', '뮤밍', '우리', '동영상', '점수']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['머리', '계속', '그냥']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['축하', '빌보드']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['축하']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['진짜', '노래', '사실', '레이브', '게뭐', '등교', '노래', '건가', '천만', '축하']"
8L001YT4k6k,
8L001YT4k6k,"['축하', '플뿌']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['천만', '축하']"
8L001YT4k6k,
8L001YT4k6k,"['레이브', '뮤직비디오', '천만', '회수', '돌파', '축하', '레이브', '하늘', '우주', '무한']"
8L001YT4k6k,"['천만', '축하']"
8L001YT4k6k,"['축하', '우주']"
8L001YT4k6k,
8L001YT4k6k,"['천만', '축하']"
8L001YT4k6k,"['뮤비', '천만', '축하']"
8L001YT4k6k,"['천만', '축하']"
8L001YT4k6k,
8L001YT4k6k,"['만회', '축하']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['축하']
8L001YT4k6k,"['뮤비', '만회', '축하']"
8L001YT4k6k,
8L001YT4k6k,['축하']
8L001YT4k6k,['쥬타쥬타']
8L001YT4k6k,"['천만', '달성', '축하', '쭉쭉']"
8L001YT4k6k,['축하']
8L001YT4k6k,"['뿌우', '천만']"
8L001YT4k6k,"['천만', '축하']"
8L001YT4k6k,
8L001YT4k6k,"['천만', '축하']"
8L001YT4k6k,['축하']
8L001YT4k6k,['축하']
8L001YT4k6k,"['뮤비', '천만', '축하']"
8L001YT4k6k,
8L001YT4k6k,['알라']
8L001YT4k6k,['축하']
8L001YT4k6k,
8L001YT4k6k,"['뿌우', '축하']"
8L001YT4k6k,"['축하', '레이브', '플리', '사랑']"
8L001YT4k6k,"['플뿌우', '축하']"
8L001YT4k6k,"['만뿌우', '축하']"
8L001YT4k6k,"['천만', '축하', '외계', '사랑']"
8L001YT4k6k,['오오오']
8L001YT4k6k,"['축하', '플뿌우', '더더']"
8L001YT4k6k,"['드뎌', '천만']"
8L001YT4k6k,
8L001YT4k6k,"['천만', '축하']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['천만']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['헉스', '언제', '천만']"
8L001YT4k6k,"['천만', '축하']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['천만']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['라스', '오오오오오']"
8L001YT4k6k,['천만']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['천만', '플리']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['레이브', '처음', '우연', '그것', '데뷔', '지금', '응원', '노래', '항상', '사랑', '응원', '아이돌', '관심', '편이', '누군가', '멀리', '응원', '샤이니', '이후', '처음', '항상', '제발', '우리', '노아', '은호', '밤비', '예준', '항상', '너희', '장난', '투닥거리', '강아지', '모습', '우리', '갑자기', '편지']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['플리', '입시', '보고', '이제', '심장', '다시', '플리']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['세상', '존재', '갖은', '단어', '표현']"
8L001YT4k6k,"['이번', '노래', '듣기', '부담']"
8L001YT4k6k,"['컴백', '영상', '웃기', '점점', '발전']"
8L001YT4k6k,
8L001YT4k6k,['진짜']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['배속']
8L001YT4k6k,"['레이브', '다음', '작업', '그다음', '작업', '그다음', '작업', '얼마나', '앞서서', '준비', '년도', '활동', '그동안', '정말', '스케줄', '잠깐', '컨디션', '응원', '사랑']"
8L001YT4k6k,['천만']
8L001YT4k6k,
8L001YT4k6k,"['여름', '뭔가', '정식', '플리', '덕심', '노래', '파다', '이번', '노래', '앨범', '고민', '앨범', '세트', '아이돌', '처음', '이번']"
8L001YT4k6k,
8L001YT4k6k,"['혹시', '서로', '쿠로', '포차', '생각', '잠시']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['노래', '중독', '대박']"
8L001YT4k6k,"['오늘', '천만']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['보고', '보고', '천만']"
8L001YT4k6k,"['매번', '노래', '레이브']"
8L001YT4k6k,
8L001YT4k6k,
