,keywords
qOB5sIujPH8,"['문화', '존중', '노래', '좋아하다', '있다', '사람', '아니다', '버츄얼', '캐릭터', '오빠', '사람인', '덕질']"
qOB5sIujPH8,"['임마', '으잉']"
qOB5sIujPH8,"['오빠', '인터넷', '퇴장', '초컷', '신상']"
qOB5sIujPH8,"['컴터', '전멸']"
qOB5sIujPH8,"['인스타', '댓글', '완전', '딴판']"
qOB5sIujPH8,"['하하', '저희', '있다']"
qOB5sIujPH8,"['육수', '통한']"
qOB5sIujPH8,
qOB5sIujPH8,['티야']
qOB5sIujPH8,"['공중부양', '일가견', '있다', '사람', '있다']"
qOB5sIujPH8,['화이팅']
qOB5sIujPH8,['시티']
qOB5sIujPH8,
qOB5sIujPH8,"['공연', '전기', '건가']"
qOB5sIujPH8,"['이제', '버츄얼']"
qOB5sIujPH8,"['오빠', '이렇다', '하제']"
qOB5sIujPH8,['장기하']
qOB5sIujPH8,"['직접', '가상', '비교']"
qOB5sIujPH8,"['버츄얼', '이해']"
qOB5sIujPH8,['두꺼비']
qOB5sIujPH8,"['두꺼비', '펜타킬']"
qOB5sIujPH8,"['싸이', '무대']"
qOB5sIujPH8,"['아니다', '오빠', '그렇다']"
qOB5sIujPH8,"['이름', '이수만']"
qOB5sIujPH8,"['푸훗', '은애']"
qOB5sIujPH8,
qOB5sIujPH8,"['버츄얼', '갠취', '존중', '개인', '충격']"
qOB5sIujPH8,
qOB5sIujPH8,['저걸']
qOB5sIujPH8,['아이언맨']
qOB5sIujPH8,"['두꺼비', '아니다']"
qOB5sIujPH8,['웃기']
qOB5sIujPH8,"['하늘', '좋다']"
qOB5sIujPH8,"['댓글', '노무현', '대통령']"
qOB5sIujPH8,['실제']
qOB5sIujPH8,['나유타']
qOB5sIujPH8,"['무대', '오토바이', '있다']"
qOB5sIujPH8,['그렇다']
qOB5sIujPH8,['허경영']
qOB5sIujPH8,"['진짜', '근본', '없다']"
qOB5sIujPH8,"['펜타킬', '버츄얼']"
qOB5sIujPH8,"['버츄얼', '더빙', '사람', '궁금']"
qOB5sIujPH8,"['가나', '문제']"
qOB5sIujPH8,"['사람', '사람', '허경영']"
qOB5sIujPH8,"['좋아하다', '석화', '야무지다']"
qOB5sIujPH8,"['많다', '남자']"
qOB5sIujPH8,"['오빠', '높다']"
qOB5sIujPH8,"['차단기', '해체']"
qOB5sIujPH8,
qOB5sIujPH8,"['공항', '가면']"
qOB5sIujPH8,['허경영']
