title,company,location,scrape_date,scrape_time,title_raw,paren_raw,title_clean,seniority,work_mode,employment_type,role_group
Cloud Engineer,Innover Digital,"UP, IN",2025-07-16,15:23:47,Cloud Engineer,,cloud engineer,unknown,unknown,unknown,cloud
"Data Scientist (Python, LLM, Tensorflow / Scikit) - Immediate Joiners",Grid Dynamics,"Hyderabad, Telangana, India",2025-07-16,15:23:47,"Data Scientist (Python, LLM, Tensorflow / Scikit) - Immediate Joiners","Python, LLM, Tensorflow / Scikit",data scientist immediate,unknown,unknown,unknown,data_science
Data Engineer,L&T Technology Services,"Bengaluru, Karnataka, India",2025-07-16,15:23:47,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Data Engineer,Synechron,"Pune, Maharashtra, India",2025-07-16,15:23:47,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Software Development Engineer II - Azure Data Engineering,Tesco Bengaluru,"Bengaluru, Karnataka, India",2025-07-16,15:23:47,Software Development Engineer II - Azure Data Engineering,,software development engineer ii azure data engineering,unknown,unknown,unknown,data_engineering
Senior Machine Learning Engineer,Hub-AI Technologies,"Bengaluru, Karnataka, India",2025-07-16,15:23:47,Senior Machine Learning Engineer,,senior machine learning engineer,senior,unknown,unknown,ml_ai
DevOps Engineer,myGwork - LGBTQ+ Business Community,"Hyderabad, Telangana, India",2025-07-16,15:23:47,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Senior Data Engineer,USEReady,"Bangalore Urban, Karnataka, India",2025-07-16,15:23:47,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
Machine Learning Engineer,Uplers,"Hyderabad, Telangana, India",2025-07-16,15:23:47,Machine Learning Engineer,,machine learning engineer,unknown,unknown,unknown,ml_ai
Generative AI Engineer,Tata Consultancy Services,"Bengaluru, Karnataka, India",2025-07-16,15:25:10,Generative AI Engineer,,generative ai engineer,unknown,unknown,unknown,ml_ai
SRE DevOps Engineer,Zensar Technologies,"Pune, Maharashtra, India",2025-07-16,15:25:10,SRE DevOps Engineer,,sre devops engineer,unknown,unknown,unknown,devops_sre
Azure DevOps Consultant,SpeedMart,"Pune, Maharashtra, India",2025-07-16,15:25:10,Azure DevOps Consultant,,azure devops consultant,unknown,unknown,unknown,devops_sre
Data Engineer – Python (freelancer),Soul AI,,2025-07-16,15:26:30,Data Engineer – Python (freelancer),freelancer,data engineer python,unknown,unknown,contract,data_engineering
Generative AI Engineer,Recro,"Gurugram, Haryana, India",2025-07-16,15:26:30,Generative AI Engineer,,generative ai engineer,unknown,unknown,unknown,ml_ai
DevOps Engineer,XLNC Technologies,"Mumbai, Maharashtra, India",2025-07-16,15:26:30,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Cloud Engineer,RPA Infotech India Pvt Ltd.,"Bengaluru, Karnataka, India",2025-07-16,15:26:30,Cloud Engineer,,cloud engineer,unknown,unknown,unknown,cloud
Sr. Data Engineer,Gartner,"Gurgaon, Haryana, India",2025-07-16,15:26:30,Sr. Data Engineer,,sr data engineer,senior,unknown,unknown,data_engineering
