,title,company,location,scrape_date,scrape_time
205,"Director, Data Engineering-R-251209",Mastercard,"Pune, Maharashtra, India",2025-07-16,13:38:47
206,"Prototyping Architect, Prototyping and Cloud Engineering (PACE)",Amazon Web Services (AWS),"Mumbai, Maharashtra, India",2025-07-16,13:38:47
207,Machine Learning Engineer (Vertex AI + Flutter Exposure),The TDIT Group,"Gurugram, Haryana, India",2025-07-16,13:38:47
208,5+ YoE - Data Engineer – PySpark/Spark Scala with Cloud & SQL - Immediate Joiner - Noida,UST,"Noida, Uttar Pradesh, India",2025-07-16,13:38:47
209,AWS DevOps Engineer,4Bell Technology,"TN, IN",2025-07-16,14:21:03
210,Devops Engineer,Paxbridge Management services Pvt Ltd,"GJ, IN",2025-07-16,14:21:03
211,Machine Learning Engineer (L2),Twilio,,2025-07-16,14:21:03
212,Big Data Engineer - P50,Adobe,"Bengaluru, Karnataka, India",2025-07-16,14:21:03
213,Data Engineer-Data Platforms-Google,IBM,"Hyderabad, Telangana, India",2025-07-16,14:21:03
214,Software Development Engineer Devops II,TELUS Digital,"Bengaluru, Karnataka, India",2025-07-16,14:21:03
215,Data Engineer-Data Platforms-Google,IBM,"Bengaluru, Karnataka, India",2025-07-16,14:21:03
216,Data Engineer,VSM Software,"Mumbai, Maharashtra, India",2025-07-16,14:21:03
217,"Prototyping Architect, Prototyping and Cloud Engineering (PACE)",Amazon Web Services (AWS),"Bengaluru, Karnataka, India",2025-07-16,14:21:03
218,Sr. DevOps Engineer,Lexmark,,2025-07-16,14:21:03
219,Senior DevOps Engineer,Prognova Partners Pvt Ltd,"TN, IN",2025-07-16,14:47:43
220,Principal DevOps Engineer,NVIDIA,"TS, IN",2025-07-16,14:47:43
221,Data Visualization Developer (D3.js),Escalent,"Noida, Uttar Pradesh, India",2025-07-16,14:47:43
222,DevOps Specialist,Wipro,"Gurugram, Haryana, India",2025-07-16,14:47:43
223,Senior DevOps Engineer - Bangalore,Capco,"Bengaluru, Karnataka, India",2025-07-16,14:47:43
224,Data Engineer,Accenture in India,"Bengaluru, Karnataka, India",2025-07-16,14:47:43
